name, category_1, category_2, class,
IMG_3695.JPG, 10, 15, disease, 
IMG_3736.JPG, 11, 12, disease,
IMG_3708.JPG, 13, 15, disease, 
IMG_3720.JPG, 14, 16, disease,
IMG_3697.JPG, 19, 11, disease,
IMG_3696.JPG, 18, 18, disease,
IMG_3721.JPG, 14, 13, disease,
IMG_3735.JPG, 12, 11, disease,
IMG_3709.JPG, 10, 11, disease,
IMG_3731.JPG, 14, 18, disease,
IMG_3693.JPG, 19, 20, disease,
IMG_3732.JPG, 22, 30, disease,
IMG_3690.JPG, 31, 14, disease,
IMG_3733.JPG, 16, 12, disease,
IMG_3752.JPG, 15, 17, disease,
IMG_3753.JPG, 13, 15, disease, 
IMG_3750.JPG, 19, 20, disease,
IMG_3744.JPG, 20, 22, disease,
IMG_3762.JPG, 23, 24, disease,
IMG_3763.JPG, 25, 26, disease,
IMG_3759.JPG, 21, 16, disease,
IMG_3702.JPG, 24, 15, disease, 
IMG_3737.JPG, 1, 3, healthy,
IMG_3694.JPG, 2, 4, healthy,
IMG_3680.JPG, 5, 2, healthy,
IMG_3722.JPG, 3, 1, healthy,
IMG_3734.JPG, 2, 5, healthy,
